T1,T2,H1,H2,D1,D2,D3,D4
Blyze PLD,Prims DRK,Kat WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja DNC,Arg SMN
Blyze PLD,Prims DRK,Kat WHM,Livia AST,Lloyd DRG,Leone NIN,Sonja DNC,Arg SMN
Blyze PLD,Prims DRK,Kat WHM,Livia AST,Lloyd DRG,Sonja DNC,Arg SMN,Leone RDM
Blyze PLD,Prims DRK,Kat WHM,Livia AST,Lloyd DRG,Sonja MCH,Arg SMN,Leone RDM
Blyze PLD,Prims DRK,Kat WHM,Livia AST,Lloyd DRG,Leone NIN,Sonja BRD,Arg SMN
Blyze PLD,Prims DRK,Kat WHM,Livia AST,Lloyd DRG,Sonja BRD,Arg SMN,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Kat BRD,Arg SMN,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Prims SAM,Kat DNC,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone DRG,Prims SAM,Kat DNC,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone MNK,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Arg DRG,Prims SAM,Kat DNC,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Prims SAM,Kat BRD,Arg SMN,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Kat DNC,Arg SMN,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone MNK,Prims SAM,Kat DNC,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone NIN,Prims SAM,Kat DNC,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone NIN,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Prims SAM,Kat DNC,Arg SMN,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena SGE,Arg DRG,Prims SAM,Kat BRD,Leone RDM
Livia DRK,Leone GNB,Celaena WHM,Kat AST,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Celaena PLD,Leone GNB,Kat WHM,Livia AST,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Livia PLD,Leone GNB,Kat WHM,Celaena SGE,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Livia DRK,Leone GNB,Kat AST,Celaena SGE,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Livia PLD,Leone GNB,Kat AST,Celaena SGE,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Livia PLD,Leone GNB,Celaena WHM,Kat AST,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Livia DRK,Leone GNB,Kat WHM,Celaena SGE,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Livia DRK,Leone GNB,Kat WHM,Celaena AST,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Livia PLD,Leone GNB,Kat WHM,Celaena AST,Blyze NIN,Prims SAM,Sonja MCH,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Blyze MNK,Kat DNC,Sonja BLM,Leone RDM
Prims PLD,Arg DRK,Livia AST,Celaena SGE,Blyze MNK,Kat DNC,Sonja BLM,Leone RDM
Livia PLD,Prims DRK,Blyze SCH,Celaena AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Prims PLD,Livia DRK,Blyze SCH,Celaena SGE,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Livia PLD,Prims DRK,Blyze AST,Celaena SGE,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Livia PLD,Prims DRK,Blyze WHM,Celaena AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Blyze PLD,Prims DRK,Celaena WHM,Livia AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Prims PLD,Livia DRK,Blyze WHM,Celaena SGE,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Prims PLD,Livia DRK,Blyze AST,Celaena SGE,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
