T1,T2,H1,H2,D1,D2,D3,D4
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Kat DNC,Arg SMN,Sonja RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Kat BRD,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Livia DRG,Sonja BRD,Kat DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Kat BRD,Sonja MCH,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Sonja MNK,Livia DNC,Arg SMN,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Sonja NIN,Kat DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Kat BRD,Sonja SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Livia NIN,Sonja BRD,Arg SMN,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Arg DRG,Sonja BRD,Livia DNC,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Livia NIN,Kat BRD,Sonja MCH,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Kat BRD,Livia DNC,Sonja SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Arg DRG,Kat BRD,Livia DNC,Sonja SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Sonja NIN,Kat BRD,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Kat BRD,Sonja BLM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Arg DRG,Livia NIN,Kat BRD,Sonja BLM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Kat DNC,Sonja BLM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Arg DRG,Livia NIN,Kat DNC,Sonja BLM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Sonja SAM,Kat BRD,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Sonja MNK,Kat BRD,Livia DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Livia DRG,Sonja DNC,Arg SMN,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Livia NIN,Sonja BRD,Kat DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Livia NIN,Sonja SAM,Kat BRD,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Sonja DRG,Livia NIN,Kat DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Sonja MCH,Arg SMN,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Livia DRG,Kat BRD,Sonja MCH,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Sonja MCH,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Sonja BRD,Livia DNC,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Sonja MNK,Lloyd DRG,Kat BRD,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Sonja NIN,Livia DNC,Arg SMN,Kat RDM
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Leone DRG,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Leone MNK,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Arg DRG,Prims SAM,Kat DNC,Leone RDM
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Prims SAM,Kat BRD,Arg SMN,Leone RDM
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Lloyd DRG,Kat DNC,Arg SMN,Leone RDM
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Leone MNK,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Leone NIN,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Leone NIN,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Prims SAM,Kat DNC,Arg SMN,Leone RDM
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Arg DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Sonja SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Kat DNC,Sonja RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Kat DNC,Sonja BLM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Prims SAM,Sonja BRD,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Sonja SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Sonja MNK,Lloyd DRG,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Kat DNC,Sonja BLM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Sonja MCH,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Sonja RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Prims SAM,Kat DNC,Sonja BLM,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Kat BRD,Sonja DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone NIN,Prims SAM,Kat DNC,Sonja BLM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Sonja MNK,Prims SAM,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Sonja BRD,Kat RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Prims SAM,Kat BRD,Sonja MCH,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Kat BRD,Sonja SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Sonja DRG,Prims SAM,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Kat DNC,Sonja RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Prims SAM,Sonja BRD,Kat RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Kat BRD,Sonja RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Sonja DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Sonja BRD,Kat RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Kat DNC,Sonja SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Sonja RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Sonja DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Prims SAM,Kat BRD,Sonja SMN,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Kat BRD,Sonja BLM,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Prims SAM,Kat BRD,Sonja BLM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Sonja MNK,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Sonja MCH,Kat RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Kat BRD,Sonja RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Sonja BRD,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Sonja DNC,Kat RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Prims SAM,Kat BRD,Sonja SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone NIN,Prims SAM,Kat BRD,Sonja SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone NIN,Prims SAM,Sonja MCH,Kat RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Sonja NIN,Prims SAM,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone NIN,Prims SAM,Kat BRD,Sonja BLM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat DNC,Sonja SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Kat BRD,Sonja MCH,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Sonja MNK,Lloyd DRG,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Kat DNC,Sonja RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone DRG,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone MNK,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Arg DRG,Prims SAM,Kat DNC,Leone RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Prims SAM,Kat BRD,Arg SMN,Leone RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Lloyd DRG,Kat DNC,Arg SMN,Leone RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone MNK,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone NIN,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone NIN,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Prims SAM,Kat DNC,Arg SMN,Leone RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Arg DRG,Prims SAM,Kat BRD,Leone RDM
Prims DRK,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena SGE,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims PLD,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims PLD,Arg DRK,Blyze AST,Celaena SGE,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims DRK,Leone GNB,Blyze SCH,Celaena SGE,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Arg DRK,Leone GNB,Blyze AST,Celaena SGE,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims PLD,Leone GNB,Blyze SCH,Celaena SGE,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Prims PLD,Leone GNB,Blyze WHM,Celaena SGE,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Arg DRK,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Sonja NIN,Livia DNC,Kat RDM
Celaena PLD,Sonja DRK,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Celaena PLD,Sonja DRK,Blyze SCH,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Arg DRK,Blyze AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Arg DRK,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Arg DRK,Blyze AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Celaena PLD,Sonja WAR,Blyze SCH,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Blyze SCH,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja DRK,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia DRK,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Livia DRK,Blyze AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja GNB,Blyze WHM,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja WAR,Blyze AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia DRK,Sonja GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja WAR,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Arg DRK,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Arg DRK,Blyze WHM,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Livia DRK,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Livia DRK,Blyze WHM,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Livia DRK,Blyze AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia DRK,Sonja GNB,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia DRK,Sonja GNB,Blyze WHM,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Blyze PLD,Arg DRK,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Livia DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Blyze AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Arg DRK,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia DRK,Sonja GNB,Blyze SCH,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Livia DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja WAR,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Arg DRK,Blyze SCH,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja WAR,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Livia DRK,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Arg DRK,Blyze WHM,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Arg DRK,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Arg DRK,Blyze SCH,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja DRK,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Blyze PLD,Arg DRK,Livia AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja GNB,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Arg DRK,Blyze WHM,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Arg DRK,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja PLD,Arg DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja DRK,Blyze AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Sonja GNB,Blyze AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Sonja WAR,Livia DRK,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Arg DRK,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Celaena PLD,Sonja GNB,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Celaena PLD,Sonja DRK,Blyze WHM,Livia AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Celaena PLD,Sonja DRK,Blyze SCH,Livia AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Celaena PLD,Sonja WAR,Blyze SCH,Livia AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja DRK,Celaena WHM,Blyze AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia DRK,Sonja GNB,Celaena WHM,Blyze AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze AST,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja GNB,Blyze WHM,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja WAR,Blyze AST,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia DRK,Sonja GNB,Celaena WHM,Blyze SCH,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja WAR,Blyze WHM,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja WAR,Livia DRK,Celaena WHM,Blyze AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja WAR,Livia DRK,Blyze WHM,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja WAR,Livia DRK,Blyze AST,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia DRK,Sonja GNB,Blyze WHM,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia DRK,Sonja GNB,Blyze WHM,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Celaena WHM,Blyze SCH,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja GNB,Celaena WHM,Blyze SCH,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia DRK,Sonja GNB,Blyze SCH,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja WAR,Livia DRK,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja WAR,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja WAR,Celaena WHM,Blyze AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Livia DRK,Blyze WHM,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja DRK,Blyze WHM,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja GNB,Blyze WHM,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja DRK,Blyze AST,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Sonja GNB,Blyze AST,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Sonja WAR,Livia DRK,Blyze WHM,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Celaena PLD,Sonja GNB,Blyze WHM,Livia AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Prims PLD,Leone GNB,Kat WHM,Celaena SGE,Livia NIN,Blyze SAM,Sonja BRD,Arg SMN
Prims DRK,Leone GNB,Kat WHM,Celaena AST,Livia NIN,Blyze SAM,Sonja BRD,Arg SMN
Prims DRK,Leone GNB,Kat WHM,Celaena SGE,Livia NIN,Blyze SAM,Sonja BRD,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Kat AST,Livia NIN,Blyze SAM,Sonja BRD,Arg SMN
Prims PLD,Leone GNB,Kat AST,Celaena SGE,Livia NIN,Blyze SAM,Sonja BRD,Arg SMN
Livia DRK,Leone GNB,Kat WHM,Celaena SGE,Blyze NIN,Prims SAM,Sonja BRD,Arg SMN
Livia DRK,Leone GNB,Kat WHM,Celaena AST,Blyze NIN,Prims SAM,Sonja BRD,Arg SMN
Livia PLD,Leone GNB,Kat WHM,Celaena AST,Blyze NIN,Prims SAM,Sonja BRD,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Livia DNC,Arg SMN,Kat RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Livia NIN,Kat DNC,Leone RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone DRG,Livia DNC,Arg SMN,Kat RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Arg DRG,Livia NIN,Kat BRD,Leone RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Kat BRD,Livia DNC,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone MNK,Livia NIN,Kat BRD,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone MNK,Livia NIN,Kat DNC,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Livia NIN,Kat DNC,Arg SMN,Leone RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone DRG,Livia NIN,Kat BRD,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone NIN,Kat BRD,Livia DNC,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone MNK,Livia DRG,Kat BRD,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Livia DRG,Kat BRD,Arg SMN,Leone RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Kat BRD,Livia DNC,Leone RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Arg DRG,Kat BRD,Livia DNC,Leone RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Leone NIN,Livia DNC,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Livia NIN,Kat BRD,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Lloyd DRG,Kat DNC,Arg SMN,Leone RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone DRG,Kat BRD,Livia DNC,Arg SMN
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Livia DRG,Leone NIN,Kat DNC,Arg SMN
