T1,T2,H1,H2,M1,M2,R1,R2
Prims PLD,Livia DRK,Celaena WHM,Blyze SCH,Sonja MNK,Lloyd DRG,Arg SMN,Kat RDM
Livia PLD,Sonja DRK,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat DNC,Arg SMN
Sonja PLD,Prims DRK,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Kat DNC,Leone RDM
Prims PLD,Livia DRK,Blyze SCH,Celaena AST,Lloyd DRG,Sonja SAM,Kat BRD,Leone RDM
Celaena PLD,Prims DRK,Blyze SCH,Kat AST,Lloyd DRG,Leone NIN,Arg SMN,Sonja RDM
Prims PLD,Livia DRK,Celaena WHM,Blyze SCH,Leone MNK,Lloyd DRG,Kat BRD,Sonja RDM
Prims PLD,Sonja DRK,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Sonja BRD,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Sonja SAM,Livia DNC,Kat RDM
Livia PLD,Prims DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Sonja MCH,Arg SMN
Arg DRK,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Prims SAM,Sonja BRD,Kat DNC
Celaena PLD,Arg DRK,Blyze SCH,Livia AST,Leone MNK,Lloyd DRG,Sonja BRD,Kat RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Blyze DRG,Leone NIN,Kat DNC,Sonja SMN
Prims PLD,Livia DRK,Celaena WHM,Blyze AST,Lloyd DRG,Sonja SAM,Arg SMN,Kat RDM
Prims PLD,Livia DRK,Blyze WHM,Celaena AST,Lloyd DRG,Leone NIN,Kat BRD,Sonja SMN
Prims PLD,Arg DRK,Celaena WHM,Blyze SCH,Livia DRG,Sonja NIN,Kat DNC,Leone RDM
Sonja WAR,Livia DRK,Blyze SCH,Celaena AST,Arg DRG,Prims SAM,Kat BRD,Leone RDM
Blyze PLD,Leone GNB,Celaena WHM,Kat AST,Lloyd DRG,Prims SAM,Livia DNC,Sonja BLM
Prims PLD,Livia DRK,Kat WHM,Celaena AST,Leone NIN,Blyze SAM,Sonja BLM,Arg SMN
Sonja PLD,Prims DRK,Blyze SCH,Celaena AST,Arg DRG,Livia NIN,Kat DNC,Leone RDM
